id,name,abbreviation,week,year,home,away,url,pbp_url
401671699,Chargers v Cardinals,LAC v ARI,7,2024,22,24,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401671699,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401671699/competitions/401671699/plays?limit=300
401547639,Steelers v Ravens,PIT v BAL,18,2024,33,23,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547639,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547639/competitions/401547639/plays?limit=300
401547641,Browns v Bengals,CLE v CIN,18,2024,4,5,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547641,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547641/competitions/401547641/plays?limit=300
401547642,Vikings v Lions,MIN v DET,18,2024,8,16,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547642,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547642/competitions/401547642/plays?limit=300
401547652,Jaguars v Titans,JAX v TEN,18,2024,10,30,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547652,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547652/competitions/401547652/plays?limit=300
401547648,Jets v Patriots,NYJ v NE,18,2024,17,20,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547648,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547648/competitions/401547648/plays?limit=300
401547649,Falcons v Saints,ATL v NO,18,2024,18,1,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547649,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547649/competitions/401547649/plays?limit=300
401547643,Bears v Packers,CHI v GB,18,2024,9,3,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547643,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547643/competitions/401547643/plays?limit=300
401547646,Broncos v Raiders,DEN v LV,18,2024,13,7,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547646,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547646/competitions/401547646/plays?limit=300
401547650,Eagles v Giants,PHI v NYG,18,2024,19,21,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547650,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547650/competitions/401547650/plays?limit=300
401547638,Seahawks v Cardinals,SEA v ARI,18,2024,22,26,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547638,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547638/competitions/401547638/plays?limit=300
401547645,Chiefs v Chargers,KC v LAC,18,2024,24,12,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547645,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547645/competitions/401547645/plays?limit=300
401547653,Cowboys v Commanders,DAL v WSH,18,2024,28,6,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547653,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547653/competitions/401547653/plays?limit=300
401547647,Bills v Dolphins,BUF v MIA,18,2024,15,2,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547647,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547647/competitions/401547647/plays?limit=300
401547749,Browns v Texans,CLE v HOU,1,2024,34,5,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547749,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547749/competitions/401547749/plays?limit=300
401547750,Dolphins v Chiefs,MIA v KC,1,2024,12,15,https://site.web.api.espn.com/apis/site/v2/sports/football/nfl/summary?event=401547750,sports.core.api.espn.com/v2/sports/football/leagues/nfl/events/401547750/competitions/401547750/plays?limit=300
