id,name,abbreviation,url
1,Wide Receiver,WR,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/1?lang=en&region=us
2,Left Tackle,LT,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/2?lang=en&region=us
3,Left Guard,LG,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/3?lang=en&region=us
4,Center,C,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/4?lang=en&region=us
5,Right Guard,RG,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/5?lang=en&region=us
6,Right Tackle,RT,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/6?lang=en&region=us
7,Tight End,TE,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/7?lang=en&region=us
8,Quarterback,QB,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/8?lang=en&region=us
10,Fullback,FB,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/10?lang=en&region=us
11,Left Defensive End,LDE,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/11?lang=en&region=us
12,Nose Tackle,NT,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/12?lang=en&region=us
13,Right Defensive End,RDE,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/13?lang=en&region=us
14,Left Outside Linebacker,LOLB,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/14?lang=en&region=us
16,Right Inside Linebacker,RILB,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/16?lang=en&region=us
17,Right Outside Linebacker,ROLB,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/17?lang=en&region=us
22,Place Kicker,PK,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/22?lang=en&region=us
23,Punter,P,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/23?lang=en&region=us
24,Left Defensive Tackle,LDT,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/24?lang=en&region=us
25,Right Defensive Tackle,RDT,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/positions/25?lang=en&region=us
