id,name,location,abbreviation,url
22,Arizona Cardinals,Arizona,ARI,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/22?lang=en&region=us
21,Philadelphia Eagles,Philadelphia,PHI,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/21?lang=en&region=us
23,Pittsburgh Steelers,Pittsburgh,PIT,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/23?lang=en&region=us
26,Seattle Seahawks,Seattle,SEA,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/26?lang=en&region=us
25,San Francisco 49ers,San Francisco,SF,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/25?lang=en&region=us
27,Tampa Bay Buccaneers,Tampa Bay,TB,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/27?lang=en&region=us
10,Tennessee Titans,Tennessee,TEN,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/10?lang=en&region=us
28,Washington Commanders,Washington,WSH,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/28?lang=en&region=us
1,Atlanta Falcons,Atlanta,ATL,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/1?lang=en&region=us
33,Baltimore Ravens,Baltimore,BAL,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/33?lang=en&region=us
2,Buffalo Bills,Buffalo,BUF,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/2?lang=en&region=us
29,Carolina Panthers,Carolina,CAR,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/29?lang=en&region=us
3,Chicago Bears,Chicago,CHI,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/3?lang=en&region=us
4,Cincinnati Bengals,Cincinnati,CIN,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/4?lang=en&region=us
5,Cleveland Browns,Cleveland,CLE,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/5?lang=en&region=us
6,Dallas Cowboys,Dallas,DAL,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/6?lang=en&region=us
7,Denver Broncos,Denver,DEN,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/7?lang=en&region=us
8,Detroit Lions,Detroit,DET,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/8?lang=en&region=us
9,Green Bay Packers,Green Bay,GB,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/9?lang=en&region=us
34,Houston Texans,Houston,HOU,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/34?lang=en&region=us
11,Indianapolis Colts,Indianapolis,IND,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/11?lang=en&region=us
30,Jacksonville Jaguars,Jacksonville,JAX,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/30?lang=en&region=us
12,Kansas City Chiefs,Kansas City,KC,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/12?lang=en&region=us
24,Los Angeles Chargers,Los Angeles,LAC,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/24?lang=en&region=us
14,Los Angeles Rams,Los Angeles,LAR,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/14?lang=en&region=us
13,Las Vegas Raiders,Las Vegas,LV,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/13?lang=en&region=us
15,Miami Dolphins,Miami,MIA,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/15?lang=en&region=us
16,Minnesota Vikings,Minnesota,MIN,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/16?lang=en&region=us
17,New England Patriots,New England,NE,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/17?lang=en&region=us
18,New Orleans Saints,New Orleans,NO,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/18?lang=en&region=us
19,New York Giants,New York,NYG,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/19?lang=en&region=us
20,New York Jets,New York,NYJ,http://sports.core.api.espn.com/v2/sports/football/leagues/nfl/seasons/2024/teams/20?lang=en&region=us
